,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
55,259337,1013,NIFTY50 TR 2X LEV,NIFTY50 TR 2X LEV,0,,0,0,0,EQ,INDICES,NSE
56,267529,1045,NIFTY50 VALUE 20,NIFTY50 VALUE 20,0,,0,0,0,EQ,INDICES,NSE
57,1749249,6833,1018GS2026-GS,,0,,0,0.01,1,EQ,NSE,NSE
58,957441,3740,182D021221-TB,,0,,0,0.01,100,EQ,NSE,NSE
59,1341697,5241,182D030222-TB,,0,,0,0.01,100,EQ,NSE,NSE
60,1420033,5547,182D030322-TB,,0,,0,0.01,100,EQ,NSE,NSE
61,869633,3397,182D041121-TB,,0,,0,0.01,100,EQ,NSE,NSE
62,1282049,5008,182D060122-TB,,0,,0,0.01,100,EQ,NSE,NSE
63,815361,3185,182D071021-TB,,0,,0,0.01,100,EQ,NSE,NSE
64,965121,3770,182D091221-TB,,0,,0,0.01,100,EQ,NSE,NSE
65,1369089,5348,182D100222-TB,,0,,0,0.01,100,EQ,NSE,NSE
66,1426433,5572,182D100322-TB,,0,,0,0.01,100,EQ,NSE,NSE
67,902657,3526,182D121121-TB,,0,,0,0.01,100,EQ,NSE,NSE
68,1292033,5047,182D130122-TB,,0,,0,0.01,100,EQ,NSE,NSE
69,823553,3217,182D141021-TB,,0,,0,0.01,100,EQ,NSE,NSE
70,710913,2777,182D160921-TB,,0,,0,0.01,100,EQ,NSE,NSE
71,1181697,4616,182D161221-TB,,0,,0,0.01,100,EQ,NSE,NSE
72,1388289,5423,182D180222-TB,,0,,0,0.01,100,EQ,NSE,NSE
73,917249,3583,182D181121-TB,,0,,0,0.01,100,EQ,NSE,NSE
74,1303809,5093,182D200122-TB,,0,,0,0.01,100,EQ,NSE,NSE
75,837121,3270,182D211021-TB,,0,,0,0.01,100,EQ,NSE,NSE
76,754945,2949,182D230921-TB,,0,,0,0.01,100,EQ,NSE,NSE
77,1227521,4795,182D231221-TB,,0,,0,0.01,100,EQ,NSE,NSE
78,1403393,5482,182D240222-TB,,0,,0,0.01,100,EQ,NSE,NSE
79,940545,3674,182D251121-TB,,0,,0,0.01,100,EQ,NSE,NSE
80,1325313,5177,182D270122-TB,,0,,0,0.01,100,EQ,NSE,NSE
81,847617,3311,182D281021-TB,,0,,0,0.01,100,EQ,NSE,NSE
82,791553,3092,182D290921-TB,,0,,0,0.01,100,EQ,NSE,NSE
83,1255169,4903,182D301221-TB,,0,,0,0.01,100,EQ,NSE,NSE
84,4331777,16921,20MICRONS,20 MICRONS,0,,0,0.05,1,EQ,NSE,NSE
85,1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,0,,0,0.05,1,EQ,NSE,NSE
86,1420289,5548,364D010922-TB,,0,,0,0.01,100,EQ,NSE,NSE
87,957697,3741,364D020622-TB,,0,,0,0.01,100,EQ,NSE,NSE
88,361729,1413,364D021221-TB,,0,,0,0.01,100,EQ,NSE,NSE
89,538625,2104,364D030222-TB,,0,,0,0.01,100,EQ,NSE,NSE
90,664577,2596,364D030322-TB,,0,,0,0.01,100,EQ,NSE,NSE
91,1341953,5242,364D040822-TB,,0,,0,0.01,100,EQ,NSE,NSE
92,262913,1027,364D041121-TB,,0,,0,0.01,100,EQ,NSE,NSE
93,870401,3400,364D050522-TB,,0,,0,0.01,100,EQ,NSE,NSE
94,480257,1876,364D060122-TB,,0,,0,0.01,100,EQ,NSE,NSE
95,815873,3187,364D070422-TB,,0,,0,0.01,100,EQ,NSE,NSE
96,1282817,5011,364D070722-TB,,0,,0,0.01,100,EQ,NSE,NSE
97,105985,414,364D071021-TB,,0,,0,0.01,100,EQ,NSE,NSE
98,1426945,5574,364D080922-TB,,0,,0,0.01,100,EQ,NSE,NSE
99,965889,3773,364D090622-TB,,0,,0,0.01,100,EQ,NSE,NSE
100,373761,1460,364D091221-TB,,0,,0,0.01,100,EQ,NSE,NSE
101,554753,2167,364D100222-TB,,0,,0,0.01,100,EQ,NSE,NSE
102,692737,2706,364D110322-TB,,0,,0,0.01,100,EQ,NSE,NSE
103,1369857,5351,364D110822-TB,,0,,0,0.01,100,EQ,NSE,NSE
104,283393,1107,364D111121-TB,,0,,0,0.01,100,EQ,NSE,NSE
105,490753,1917,364D130122-TB,,0,,0,0.01,100,EQ,NSE,NSE
106,902913,3527,364D130522-TB,,0,,0,0.01,100,EQ,NSE,NSE
107,822017,3211,364D140422-TB,,0,,0,0.01,100,EQ,NSE,NSE
108,1292289,5048,364D140722-TB,,0,,0,0.01,100,EQ,NSE,NSE
109,162817,636,364D141021-TB,,0,,0,0.01,100,EQ,NSE,NSE
110,1182721,4620,364D160622-TB,,0,,0,0.01,100,EQ,NSE,NSE
111,26113,102,364D160921-TB,,0,,0,0.01,100,EQ,NSE,NSE
112,395265,1544,364D161221-TB,,0,,0,0.01,100,EQ,NSE,NSE
113,582145,2274,364D170222-TB,,0,,0,0.01,100,EQ,NSE,NSE
114,711681,2780,364D170322-TB,,0,,0,0.01,100,EQ,NSE,NSE
115,302593,1182,364D181121-TB,,0,,0,0.01,100,EQ,NSE,NSE
116,917505,3584,364D190522-TB,,0,,0,0.01,100,EQ,NSE,NSE
117,1388545,5424,364D190822-TB,,0,,0,0.01,100,EQ,NSE,NSE
118,503809,1968,364D200122-TB,,0,,0,0.01,100,EQ,NSE,NSE
119,838145,3274,364D210422-TB,,0,,0,0.01,100,EQ,NSE,NSE
120,1304577,5096,364D210722-TB,,0,,0,0.01,100,EQ,NSE,NSE
121,202241,790,364D211021-TB,,0,,0,0.01,100,EQ,NSE,NSE
122,1228289,4798,364D230622-TB,,0,,0,0.01,100,EQ,NSE,NSE
123,49665,194,364D230921-TB,,0,,0,0.01,100,EQ,NSE,NSE
124,420609,1643,364D231221-TB,,0,,0,0.01,100,EQ,NSE,NSE
125,621569,2428,364D240222-TB,,0,,0,0.01,100,EQ,NSE,NSE
126,755713,2952,364D240322-TB,,0,,0,0.01,100,EQ,NSE,NSE
127,1403649,5483,364D250822-TB,,0,,0,0.01,100,EQ,NSE,NSE
128,324865,1269,364D251121-TB,,0,,0,0.01,100,EQ,NSE,NSE
129,940801,3675,364D260522-TB,,0,,0,0.01,100,EQ,NSE,NSE
130,518913,2027,364D270122-TB,,0,,0,0.01,100,EQ,NSE,NSE
131,848129,3313,364D280422-TB,,0,,0,0.01,100,EQ,NSE,NSE
132,1325569,5178,364D280722-TB,,0,,0,0.01,100,EQ,NSE,NSE
133,228097,891,364D281021-TB,,0,,0,0.01,100,EQ,NSE,NSE
134,792065,3094,364D300322-TB,,0,,0,0.01,100,EQ,NSE,NSE
135,1258497,4916,364D300622-TB,,0,,0,0.01,100,EQ,NSE,NSE
136,455425,1779,364D301221-TB,,0,,0,0.01,100,EQ,NSE,NSE
137,269057,1051,396GS2022-GS,,0,,0,0.01,1,EQ,NSE,NSE
138,121345,474,3MINDIA,3M INDIA,0,,0,0.05,1,EQ,NSE,NSE
139,2316289,9048,3PLAND-BE,3P LAND HOLDINGS,0,,0,0.05,1,EQ,NSE,NSE
140,1438977,5621,3RDROCK-IT,,0,,0,0.05,5200,EQ,NSE,NSE
141,248321,970,415KL22-SG,,0,,0,0.01,100,EQ,NSE,NSE
142,903425,3529,426GS2023-GS,,0,,0,0.01,1,EQ,NSE,NSE
143,5614337,21931,439MH23-SG,,0,,0,0.01,100,EQ,NSE,NSE
144,5616129,21938,445MH22-SG,,0,,0,0.01,100,EQ,NSE,NSE
145,242433,947,448GS2023-GS,,0,,0,0.01,1,EQ,NSE,NSE
146,5637377,22021,449RJ23-SG,,0,,0,0.01,100,EQ,NSE,NSE
147,5387521,21045,44HR23-SG,,0,,0,0.01,100,EQ,NSE,NSE
148,5431041,21215,452BR23-SG,,0,,0,0.01,100,EQ,NSE,NSE
149,5659649,22108,452TN22-SG,,0,,0,0.01,100,EQ,NSE,NSE
150,5700609,22268,454BR23-SG,,0,,0,0.01,100,EQ,NSE,NSE
151,5615361,21935,454MH22-SG,,0,,0,0.01,100,EQ,NSE,NSE
152,5701377,22271,454RJ23-SG,,0,,0,0.01,100,EQ,NSE,NSE
153,5657857,22101,454TN23-SG,,0,,0,0.01,100,EQ,NSE,NSE
154,273665,1069,45AS23-SG,,0,,0,0.01,100,EQ,NSE,NSE
155,5617921,21945,463MH23-SG,,0,,0,0.01,100,EQ,NSE,NSE
156,5666049,22133,463TN23-SG,,0,,0,0.01,100,EQ,NSE,NSE
157,5541889,21648,468HR22-SG,,0,,0,0.01,100,EQ,NSE,NSE
158,5540097,21641,475HR22-SG,,0,,0,0.01,100,EQ,NSE,NSE
159,5617409,21943,476MH23-SG,,0,,0,0.01,100,EQ,NSE,NSE
160,741121,2895,477KL23-SG,,0,,0,0.01,100,EQ,NSE,NSE
161,741889,2898,477MP23-SG,,0,,0,0.01,100,EQ,NSE,NSE
162,72193,282,47KL22-SG,,0,,0,0.01,100,EQ,NSE,NSE
163,527873,2062,485KL23-SG,,0,,0,0.01,100,EQ,NSE,NSE
164,5646849,22058,489RJ23-SG,,0,,0,0.01,100,EQ,NSE,NSE
165,5728257,22376,493BR23-SG,,0,,0,0.01,100,EQ,NSE,NSE
166,646913,2527,494MP23-SG,,0,,0,0.01,100,EQ,NSE,NSE
167,1421825,5554,495ML24-SG,,0,,0,0.01,100,EQ,NSE,NSE
168,1413889,5523,497AS24-SG,,0,,0,0.01,100,EQ,NSE,NSE
169,5659137,22106,499TN23-SG,,0,,0,0.01,100,EQ,NSE,NSE
170,5611009,21918,503KL24-SG,,0,,0,0.01,100,EQ,NSE,NSE
171,5736705,22409,505KL23-SG,,0,,0,0.01,100,EQ,NSE,NSE
172,5701121,22270,505RJ24-SG,,0,,0,0.01,100,EQ,NSE,NSE
173,2049,8,507PY23-SG,,0,,0,0.01,100,EQ,NSE,NSE
174,2817,11,509CG23-SG,,0,,0,0.01,100,EQ,NSE,NSE
175,4728065,18469,509GS2022-GS,,0,,0,0.01,1,EQ,NSE,NSE
176,5605889,21898,509KL23-SG,,0,,0,0.01,100,EQ,NSE,NSE
177,5736449,22408,509TN23-SG,,0,,0,0.01,100,EQ,NSE,NSE
178,274177,1071,512BR24-SG,,0,,0,0.01,100,EQ,NSE,NSE
179,269825,1054,515GS2025-GS,,0,,0,0.01,1,EQ,NSE,NSE
180,528129,2063,518KL24-SG,,0,,0,0.01,100,EQ,NSE,NSE
181,5736193,22407,51BR23-SG,,0,,0,0.01,100,EQ,NSE,NSE
182,4857857,18976,522GS2025-GS,,0,,0,0.01,1,EQ,NSE,NSE
183,192513,752,524AS24-SG,,0,,0,0.01,100,EQ,NSE,NSE
184,193281,755,527BR24-SG,,0,,0,0.01,100,EQ,NSE,NSE
185,38913,152,528BR23-SG,,0,,0,0.01,100,EQ,NSE,NSE
186,309761,1210,532AS25-SG,,0,,0,0.01,100,EQ,NSE,NSE
187,466177,1821,532AS26-SG,,0,,0,0.01,100,EQ,NSE,NSE
188,309505,1209,532CG25-SG,,0,,0,0.01,100,EQ,NSE,NSE
189,435201,1700,532RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
190,248577,971,535CG25-SG,,0,,0,0.01,100,EQ,NSE,NSE
191,387329,1513,535RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
192,213761,835,538CG25-SG,,0,,0,0.01,100,EQ,NSE,NSE
193,5643521,22045,538RJ24-SG,,0,,0,0.01,100,EQ,NSE,NSE
194,779009,3043,539GJ24-SG,,0,,0,0.01,100,EQ,NSE,NSE
195,5718785,22339,539RJ24-SG,,0,,0,0.01,100,EQ,NSE,NSE
196,514817,2011,539RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
197,308993,1207,53BR25-SG,,0,,0,0.01,100,EQ,NSE,NSE
198,72449,283,53RJ23-SG,,0,,0,0.01,100,EQ,NSE,NSE
199,5716737,22331,540CG24-SG,,0,,0,0.01,100,EQ,NSE,NSE
200,5717505,22334,541AP24-SG,,0,,0,0.01,100,EQ,NSE,NSE
201,434433,1697,541GA25-SG,,0,,0,0.01,100,EQ,NSE,NSE
202,681473,2662,542RJ24-SG,,0,,0,0.01,100,EQ,NSE,NSE
203,779777,3046,543BR24-SG,,0,,0,0.01,100,EQ,NSE,NSE
204,5308417,20736,544AP24-SG,,0,,0,0.01,100,EQ,NSE,NSE
205,5606401,21900,544KL24-SG,,0,,0,0.01,100,EQ,NSE,NSE
206,5661697,22116,544TN23-SG,,0,,0,0.01,100,EQ,NSE,NSE
207,5191937,20281,545AP24-SG,,0,,0,0.01,100,EQ,NSE,NSE
208,5637633,22022,545RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
209,515073,2012,546PY25-SG,,0,,0,0.01,100,EQ,NSE,NSE
210,5659905,22109,546TN24-SG,,0,,0,0.01,100,EQ,NSE,NSE
211,648449,2533,547AS24-SG,,0,,0,0.01,100,EQ,NSE,NSE
212,5645057,22051,547RJ24-SG,,0,,0,0.01,100,EQ,NSE,NSE
213,5708801,22300,549RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
214,150273,587,54BR24-SG,,0,,0,0.01,100,EQ,NSE,NSE
215,696833,2722,54KL24-SG,,0,,0,0.01,100,EQ,NSE,NSE
216,5746177,22446,552AP24-SG,,0,,0,0.01,100,EQ,NSE,NSE
217,649217,2536,552MP24-SG,,0,,0,0.01,100,EQ,NSE,NSE
218,5610753,21917,553KL25-SG,,0,,0,0.01,100,EQ,NSE,NSE
219,5625345,21974,554MP21-SG,,0,,0,0.01,100,EQ,NSE,NSE
220,5632769,22003,562OR21-SG,,0,,0,0.01,100,EQ,NSE,NSE
221,819713,3202,563GS2026-GS,,0,,0,0.01,1,EQ,NSE,NSE
222,5608193,21907,565KL24-SG,,0,,0,0.01,100,EQ,NSE,NSE
223,5645313,22052,565RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
224,1167873,4562,565TN25-SG,,0,,0,0.01,100,EQ,NSE,NSE
225,39681,155,568MH24-SG,,0,,0,0.01,100,EQ,NSE,NSE
226,5542145,21649,56HR24-SG,,0,,0,0.01,100,EQ,NSE,NSE
227,3073,12,56MH24-SG,,0,,0,0.01,100,EQ,NSE,NSE
228,106497,416,56RJ24-SG,,0,,0,0.01,100,EQ,NSE,NSE
229,482817,1886,572BR26-SG,,0,,0,0.01,100,EQ,NSE,NSE
230,5624065,21969,573MP21-SG,,0,,0,0.01,100,EQ,NSE,NSE
231,72961,285,575AP24-SG,,0,,0,0.01,100,EQ,NSE,NSE
232,5613569,21928,575KA25-SG,,0,,0,0.01,100,EQ,NSE,NSE
233,214017,836,575PY26-SG,,0,,0,0.01,100,EQ,NSE,NSE
234,5646081,22055,575RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
235,5658881,22105,575TN25-SG,,0,,0,0.01,100,EQ,NSE,NSE
236,5661953,22117,576TN24-SG,,0,,0,0.01,100,EQ,NSE,NSE
237,5706753,22292,577GS2030-GS,,0,,0,0.01,1,EQ,NSE,NSE
238,5606913,21902,577KL25-SG,,0,,0,0.01,100,EQ,NSE,NSE
239,5634049,22008,578OR22-SG,,0,,0,0.01,100,EQ,NSE,NSE
240,4827393,18857,579GS2030-GS,,0,,0,0.01,1,EQ,NSE,NSE
241,73729,288,579KL24-SG,,0,,0,0.01,100,EQ,NSE,NSE
242,16129,63,57BR24-SG,,0,,0,0.01,100,EQ,NSE,NSE
243,5613313,21927,57KA26-SG,,0,,0,0.01,100,EQ,NSE,NSE
244,20481,80,57MH24-SG,,0,,0,0.01,100,EQ,NSE,NSE
245,495617,1936,582BR26-SG,,0,,0,0.01,100,EQ,NSE,NSE
246,466945,1824,582RJ27-SG,,0,,0,0.01,100,EQ,NSE,NSE
247,5681409,22193,582TS24-SG,,0,,0,0.01,100,EQ,NSE,NSE
248,343297,1341,585GS2030-GS,,0,,0,0.01,1,EQ,NSE,NSE
249,1759233,6872,587GS2022-GS,,0,,0,0.01,1,EQ,NSE,NSE
250,435969,1703,588CG26-SG,,0,,0,0.01,100,EQ,NSE,NSE
251,780545,3049,588GJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
252,5298433,20697,589AP25-SG,,0,,0,0.01,100,EQ,NSE,NSE
253,5735425,22404,589RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
254,5643777,22046,58RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
255,5609217,21911,591KL25-SG,,0,,0,0.01,100,EQ,NSE,NSE
256,370945,1449,593CG26-SG,,0,,0,0.01,100,EQ,NSE,NSE
257,5632257,22001,593OR22-SG,,0,,0,0.01,100,EQ,NSE,NSE
258,682241,2665,593RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
259,108289,423,594CG25-SG,,0,,0,0.01,100,EQ,NSE,NSE
260,817665,3194,594RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
261,5662977,22121,595TN25-SG,,0,,0,0.01,100,EQ,NSE,NSE
262,483073,1887,597CG27-SG,,0,,0,0.01,100,EQ,NSE,NSE
263,1758977,6871,597GS2025-GS,,0,,0,0.01,1,EQ,NSE,NSE
264,1414401,5525,599MP26-SG,,0,,0,0.01,100,EQ,NSE,NSE
265,5679105,22184,59TS25-SG,,0,,0,0.01,100,EQ,NSE,NSE
266,113921,445,5PAISA,5PAISA CAPITAL,0,,0,0.05,1,EQ,NSE,NSE
267,1757697,6866,601GS2028-GS,,0,,0,0.01,1,EQ,NSE,NSE
268,5633025,22004,601OR22-SG,,0,,0,0.01,100,EQ,NSE,NSE
269,5649665,22069,603RJ25-SG,,0,,0,0.01,100,EQ,NSE,NSE
270,107009,418,604AS25-SG,,0,,0,0.01,100,EQ,NSE,NSE
271,5735169,22403,604KL25-SG,,0,,0,0.01,100,EQ,NSE,NSE
272,15873,62,605AS25-SG,,0,,0,0.01,100,EQ,NSE,NSE
273,1169921,4570,605RJ26-SG,,0,,0,0.01,100,EQ,NSE,NSE
274,5614081,21930,609KA28-SG,,0,,0,0.01,100,EQ,NSE,NSE
275,5623809,21968,609MP22-SG,,0,,0,0.01,100,EQ,NSE,NSE
276,544001,2125,609RJ26-SG,,0,,0,0.01,100,EQ,NSE,NSE
277,1283073,5012,610GS2031-GS,,0,,0,0.01,1,EQ,NSE,NSE
278,5613825,21929,612KA27-SG,,0,,0,0.01,100,EQ,NSE,NSE
279,1758209,6868,613GS2028-GS,,0,,0,0.01,1,EQ,NSE,NSE
280,900097,3516,613RJ26-SG,,0,,0,0.01,100,EQ,NSE,NSE
281,5644033,22047,616RJ24-SG,,0,,0,0.01,100,EQ,NSE,NSE
282,1758721,6870,617GS2023-GS,,0,,0,0.01,1,EQ,NSE,NSE
283,437505,1709,617KL27-SG,,0,,0,0.01,100,EQ,NSE,NSE
284,5681665,22194,617TS25-SG,,0,,0,0.01,100,EQ,NSE,NSE
285,782849,3058,618GJ26-SG,,0,,0,0.01,100,EQ,NSE,NSE
286,3648257,14251,618GS2024-GS,,0,,0,0.01,1,EQ,NSE,NSE
287,543489,2123,619AS26-SG,,0,,0,0.01,100,EQ,NSE,NSE
288,4857089,18973,619GS2034-GS,,0,,0,0.01,1,EQ,NSE,NSE
289,515329,2013,61CG27-SG,,0,,0,0.01,100,EQ,NSE,NSE
290,5384449,21033,61KA21-SG,,0,,0,0.01,100,EQ,NSE,NSE
291,931329,3638,61RJ26-SG,,0,,0,0.01,100,EQ,NSE,NSE
292,214273,837,61RJ27-SG,,0,,0,0.01,100,EQ,NSE,NSE
293,5624321,21970,620MP23-SG,,0,,0,0.01,100,EQ,NSE,NSE
294,569345,2224,621AS26-SG,,0,,0,0.01,100,EQ,NSE,NSE
295,243969,953,622GS2035-GS,,0,,0,0.01,1,EQ,NSE,NSE
296,348417,1361,622KL27-SG,,0,,0,0.01,100,EQ,NSE,NSE
297,5539841,21640,624HR26-SG,,0,,0,0.01,100,EQ,NSE,NSE
298,1364481,5330,624MH26-SG,,0,,0,0.01,100,EQ,NSE,NSE
299,5618433,21947,624MH28-SG,,0,,0,0.01,100,EQ,NSE,NSE
300,1244929,4863,624RJ26-SG,,0,,0,0.01,100,EQ,NSE,NSE
301,5679873,22187,624TS26-SG,,0,,0,0.01,100,EQ,NSE,NSE
302,1337857,5226,625AS26-SG,,0,,0,0.01,100,EQ,NSE,NSE
303,5605377,21896,625RJ22-SG,,0,,0,0.01,100,EQ,NSE,NSE
304,1299969,5078,627RJ26-SG,,0,,0,0.01,100,EQ,NSE,NSE
305,1414145,5524,628GJ27-SG,,0,,0,0.01,100,EQ,NSE,NSE
306,5633793,22007,628OR22-SG,,0,,0,0.01,100,EQ,NSE,NSE
307,5411841,21140,629HP26-SG,,0,,0,0.01,100,EQ,NSE,NSE
308,1286401,5025,629RJ26-SG,,0,,0,0.01,100,EQ,NSE,NSE
309,5701633,22272,62RJ27-SG,,0,,0,0.01,100,EQ,NSE,NSE
310,5644545,22049,630RJ23-SG,,0,,0,0.01,100,EQ,NSE,NSE
311,5709313,22302,632KA28-SG,,0,,0,0.01,100,EQ,NSE,NSE
312,1275393,4982,633AS26-SG,,0,,0,0.01,100,EQ,NSE,NSE
313,5666561,22135,633TN30-SG,,0,,0,0.01,100,EQ,NSE,NSE
314,5266433,20572,635AP27-SG,,0,,0,0.01,100,EQ,NSE,NSE
315,5389313,21052,635BR23-SG,,0,,0,0.01,100,EQ,NSE,NSE
316,310273,1212,635MH28-SG,,0,,0,0.01,100,EQ,NSE,NSE
317,5700353,22267,636HP28-SG,,0,,0,0.01,100,EQ,NSE,NSE
318,1399553,5467,638MH27-SG,,0,,0,0.01,100,EQ,NSE,NSE
319,5541633,21647,639AP26-SG,,0,,0,0.01,100,EQ,NSE,NSE
